Designator,Mid X,Mid Y,Rotation,Layer
BT1,116.332,-100.076,180.0,top
C1,113.792,-121.412,180.0,top
C3,138.43,-101.064,270.0,top
D1,129.0575,-119.634,180.0,top
D2,129.0575,-117.221,180.0,top
D3,122.174,-112.776,0.0,top
J1,107.442,-116.84,0.0,top
R1,124.333,-118.491,0.0,top
R2,124.331,-117.221,0.0,top
R3,125.224,-112.776,180.0,top
R4,129.54,-108.2802,0.0,top
SW1,136.652,-110.526,0.0,top
U1,117.856,-117.856,90.0,top
U2,141.2355,-100.31,180.0,top
